Description,Z Coordinate,Name,latitude,longitude
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-04-10 ~3mi,39.153299,-82.167711
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-06-07 ~20mi,40.2388,-81.843375
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-06-22 ~3mi,40.287294,-80.994292
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-10-?? ~20mi,40.011992,-80.970138
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-10-08 ~3mi,39.154072,-82.173577
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-06-24 ~20mi,39.23471,-82.432591
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-11-25 ~3mi,41.605911,-80.86538
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-07-?? ~3mi,39.104977,-82.53558
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-03-08 ~5mi,40.274677,-83.063222
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-09-10 ~3mi,38.628273,-82.667678
http://www.angelfire.com/oh/ohiosasquatch/1997.html,0.0,1997-03-17 ~3mi,39.150338,-82.16926
http://www.angelfire.com/oh/ohiosasquatch/75or76MARco.html,0.0,1976-??-?? ~3mi,40.58981,-83.140298
http://www.angelfire.com/oh/ohiosasquatch/81585metro.html,0.0,1985-08-15 ~5mi,41.380692,-82.099442
http://www.angelfire.com/oh/ohiosasquatch/88or89sumco.html,0.0,1989-??-?? ~3mi,41.26688,-81.293902
http://www.angelfire.com/oh/ohiosasquatch/e70sknco.html,0.0,197?-??-?? ~5mi,40.202923,-82.235863
http://www.angelfire.com/oh/ohiosasquatch/fall79KNco.html,0.0,1979-10Aut,40.508394,-82.286746
http://www.battlecreekenquirer.com/apps/pbcs.dll/article?AID=/20061021/LIFESTYLE,0.0,1981-10-??,42.321911,-85.360902
http://www.bfro.net/GDB/show_article.asp?id=100,0.0,1973-04-??,34.70757,-117.774644
http://www.bfro.net/GDB/show_article.asp?id=101,0.0,1973-05-??,34.690533,-117.65034
http://www.bfro.net/GDB/show_article.asp?id=103,0.0,1973-05-?? ~10mi,35.714149,-118.387785
http://www.bfro.net/GDB/show_article.asp?id=104,0.0,1973-07-??,34.601526,-117.828315
http://www.bfro.net/GDB/show_article.asp?id=104,0.0,1973-07-??,34.657402,-117.86299
http://www.bfro.net/GDB/show_article.asp?id=106,0.0,1973-11-??,34.396965,-117.808863
http://www.bfro.net/GDB/show_article.asp?id=114,0.0,2000-09-01 ~2mi,46.76874,-122.088186
http://www.bfro.net/GDB/show_article.asp?id=116,0.0,2000-06-?? ~2mi,47.740402,-124.418507
http://www.bfro.net/GDB/show_article.asp?id=119,0.0,2000-07-10,47.761136,-122.501866
http://www.bfro.net/GDB/show_article.asp?id=12,0.0,1990-10-?? ~3mi,44.650497,-84.33291
http://www.bfro.net/GDB/show_article.asp?id=124,0.0,1971-03-?? ~3mi,48.448548,-117.848096
http://www.bfro.net/GDB/show_article.asp?id=125,0.0,1977-06-13,46.849244,-122.272626
http://www.bfro.net/GDB/show_article.asp?id=127,0.0,1977-03-1?,46.9175,-122.275471
http://www.bfro.net/GDB/show_article.asp?id=127,0.0,1976-09-??,46.919432,-122.276414
http://www.bfro.net/GDB/show_article.asp?id=127,0.0,1976-09-??,46.920333,-122.272707
http://www.bfro.net/GDB/show_article.asp?id=128,0.0,1971-04-?? ~5mi,48.544807,-118.134123
http://www.bfro.net/GDB/show_article.asp?id=129,0.0,1969-07-27,47.0544,-123.956154
http://www.bfro.net/GDB/show_article.asp?id=130,0.0,1978-10-?? ~10mi,46.618445,-120.483764
http://www.bfro.net/GDB/show_article.asp?id=132,0.0,1977-04-29,46.652144,-121.620352
http://www.bfro.net/GDB/show_article.asp?id=133,0.0,1975-02-?? ~10mi,47.525311,-122.025751
http://www.bfro.net/GDB/show_article.asp?id=135,0.0,1972-09-??,48.211884,-121.421994
http://www.bfro.net/GDB/show_article.asp?id=137,0.0,1974-10-07 ~10mi,46.063292,-122.326156
http://www.bfro.net/GDB/show_article.asp?id=138,0.0,1975-11-?? ~5mi,48.756337,-122.64218
http://www.bfro.net/GDB/show_article.asp?id=139,0.0,1975-10-?? ~3mi,46.601257,-121.27361
http://www.bfro.net/GDB/show_article.asp?id=141,0.0,1970-05-?? ~2mi,47.137077,-124.096011
http://www.bfro.net/GDB/show_article.asp?id=144,0.0,1969-08-11,48.306517,-121.092709
http://www.bfro.net/GDB/show_article.asp?id=145,0.0,1971-02-?? ~5mi,48.46417,-117.868414
http://www.bfro.net/GDB/show_article.asp?id=148,0.0,1978-12-31,47.687445,-122.144353
http://www.bfro.net/GDB/show_article.asp?id=152,0.0,1976-01-?? ~3mi,47.494154,-121.791093
http://www.bfro.net/GDB/show_article.asp?id=154,0.0,1975-01-27,47.180657,-122.255393
http://www.bfro.net/GDB/show_article.asp?id=172,0.0,1978-??-?? ~5mi,34.676456,-118.445577
http://www.bfro.net/GDB/show_article.asp?id=173,0.0,1971-06-??,34.39785,-117.811144
http://www.bfro.net/GDB/show_article.asp?id=185,0.0,1980-02-??,41.175363,-112.008157
http://www.bfro.net/GDB/show_article.asp?id=186,0.0,1980-05-?? ~3mi,41.305847,-111.936674
http://www.bfro.net/GDB/show_article.asp?id=187,0.0,1981-03-?? ~20mi,40.24601,-111.546146
http://www.bfro.net/GDB/show_article.asp?id=188,0.0,1977-08-2?,40.737219,-110.913423
http://www.bfro.net/GDB/show_article.asp?id=189,0.0,1977-07-10 ~15mi,40.798073,-110.524816
http://www.bfro.net/GDB/show_article.asp?id=193,0.0,1980-02-03 ~2mi,41.125667,-111.939703
http://www.bfro.net/GDB/show_article.asp?id=193,0.0,1980-02-04 ~2mi,41.130753,-111.938197
http://www.bfro.net/GDB/show_article.asp?id=195,0.0,1980-03-31,38.902545,-84.849957
http://www.bfro.net/GDB/show_article.asp?id=196,0.0,1990-??-??-1,42.944698,-112.38474
http://www.bfro.net/GDB/show_article.asp?id=197,0.0,1992-08-09,46.427364,-116.856271
http://www.bfro.net/GDB/show_article.asp?id=202,0.0,1981-10-??,38.657815,-87.540662
http://www.bfro.net/GDB/show_article.asp?id=202,0.0,1981-10-??,38.487253,-87.585244
http://www.bfro.net/GDB/show_article.asp?id=202,0.0,1981-08-22,38.558922,-87.247833
http://www.bfro.net/GDB/show_article.asp?id=203,0.0,1980-05-01,38.994974,-84.859809
http://www.bfro.net/GDB/show_article.asp?id=206,0.0,1974-10-?? ~10mi,45.818481,-122.247616
http://www.bfro.net/GDB/show_article.asp?id=240,0.0,1993-10Aut ~3mi,32.273712,-86.87571
http://www.bfro.net/GDB/show_article.asp?id=240,0.0,1993-??-?? ~5mi,32.421019,-87.336188
http://www.bfro.net/GDB/show_article.asp?id=240,0.0,1996-10Aut ~3mi,32.264099,-86.874898
http://www.bfro.net/GDB/show_article.asp?id=241,0.0,2001-??-?? ~5mi,27.246952,-82.313536
http://www.bfro.net/GDB/show_article.asp?id=245,0.0,1975-02-?? ~2mi,41.886234,-122.845173
